dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/hioki/,type,straight,files number,10,optimal reference,2-1_008.csv,
1.952170578358837929e+02,1.143108487279998400e+02,1.165836365199315594e+02,1.354369370451151724e+02,1.070542279572250948e+02,7.265531319687836742e+01,0.000000000000000000e+00,1.259638398810062796e+02,6.339375008822302249e+01,5.039685594200199148e+01
1.819938865483819370e+02,1.496096582756878490e+02,2.129099874133767401e+02,1.222944191584327172e+02,3.389060367560737177e+02,2.082611424830788849e+02,2.902250043498357286e+02,0.000000000000000000e+00,2.903723358202385043e+02,2.249913122123587641e+02
1.589003712440240008e+02,1.015764880535135291e+02,9.853619450545791381e+01,1.202361773247743457e+02,1.006405910454091810e+02,6.503676244977312138e+01,6.318046426048683628e+01,1.313047154690707714e+02,0.000000000000000000e+00,5.910225022694564245e+01
1.837009666941587227e+02,1.190133443842410941e+02,1.029041053504414833e+02,1.423708236172937234e+02,1.049432839435772280e+02,6.642129758412832530e+01,5.812696469861461424e+01,1.363329837380559297e+02,6.430217283324613220e+01,0.000000000000000000e+00
dir,/home/junkado/Desktop/keio/20180325/3ddata/pitcher/takahashi/,type,straight,files number,9,optimal reference,4-1_009.csv,
0.000000000000000000e+00,7.428143656276627382e+01,5.527833641470030557e+01,7.888681368537959315e+01,8.218430064082355102e+01,7.352544207898137074e+01,1.328753415840637899e+02,9.818202056739427519e+01,1.020407665971357858e+02
8.582104334120694489e+01,0.000000000000000000e+00,7.170618261223906131e+01,1.129007539627453411e+02,1.064851774115354033e+02,1.106057273333043298e+02,1.504151946257104839e+02,1.063906502625957984e+02,1.118461606708371932e+02
6.038367656192527733e+01,7.895613651652089970e+01,0.000000000000000000e+00,7.241598072517568596e+01,1.141414793261993452e+02,1.098363561525631411e+02,1.653221383719939297e+02,1.061107470082244504e+02,1.233077798216010734e+02
9.267990176629193400e+01,1.358482427359406017e+02,8.948660110828561187e+01,0.000000000000000000e+00,1.225089689684789107e+02,1.453051693579640187e+02,2.272168484376519473e+02,1.573721696842423796e+02,1.569975785866930948e+02
8.934559685533893969e+01,1.065179151891005773e+02,1.115176781158721440e+02,1.432167733246293153e+02,0.000000000000000000e+00,6.840489780281382082e+01,1.776589348388569078e+02,1.268253368871521189e+02,1.587263491389319938e+02
6.185630829233991079e+01,8.426013049770155305e+01,8.327698126936600431e+01,9.065897423604738492e+01,4.565611786360958746e+01,0.000000000000000000e+00,1.233321500436652087e+02,9.100264043865027475e+01,1.053317190902218385e+02
9.798156139693806210e+01,9.428520346770994820e+01,9.941030135390876410e+01,1.084270635081556122e+02,9.312671475630533280e+01,8.607845213873133616e+01,0.000000000000000000e+00,9.371522200357337340e+01,1.007696856529360190e+02
